CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,GroupSize,IsAlone,Num,TotalSpend,HasSpent,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Side_P,Side_S,Transported,PassengerId
0.0,0.7209316,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,-0.648668,1.0,-1.1451226,-1.1518679,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0001_01
0.0,-0.3325569,0.0,1.0865378,0.13689762,0.64126354,1.6203041,0.755227,-0.648668,1.0,-1.1451226,0.63841593,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0002_01
0.0,2.0553503,1.0,0.7499017,2.143455,-0.62488854,2.5258887,0.7937004,-0.014569118,0.0,-1.1451226,1.3557221,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0003_01
0.0,0.2995362,0.0,-0.64037204,1.7938099,1.675295,2.2720108,1.2887958,-0.014569118,0.0,-1.1451226,1.1669915,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0003_02
0.0,-0.8944174,0.0,1.4600072,0.8058172,1.3274775,1.6306818,-0.23364209,-0.648668,1.0,-1.1431807,0.7450257,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0004_01
0.0,1.0720944,0.0,-0.64037204,1.4608506,-0.62488854,1.3911641,-0.6348103,-0.648668,1.0,-1.1451226,0.65204793,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0005_01
0.0,-0.19209176,0.0,0.74145555,1.8558533,-0.08615081,-0.66323394,-0.6348103,-0.014569118,0.0,-1.1412388,0.8460486,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0006_01
1.0,-0.051626623,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,-0.014569118,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0006_02
0.0,0.44000134,0.0,-0.64037204,1.6263224,0.4983594,1.2837327,-0.6348103,-0.648668,1.0,-1.1392969,0.7262652,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0007_01
1.0,-1.0348825,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,0.6195297,0.0,-1.1431807,-1.1518679,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0008_01
1.0,0.36976877,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,0.6195297,0.0,-1.1431807,-1.1518679,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0008_02
0.0,1.1423271,0.0,0.71488565,2.3867123,1.8545363,1.0411291,1.1282922,0.6195297,0.0,-1.1431807,1.2903028,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0008_03
0.0,0.22930364,0.0,0.9408988,-0.64890325,2.1050103,-0.66323394,1.0946555,-0.648668,1.0,-1.1431807,0.79437923,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0009_01
0.0,1.3530247,0.0,1.7767797,-0.41235363,1.003283,-0.66323394,0.54059136,-0.648668,1.0,-1.1431807,0.66402495,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0010_01
0.0,-0.051626623,0.0,0.16686647,1.6998593,0.37189472,-0.26564986,0.124516614,-0.648668,1.0,-1.1412388,0.7222441,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0011_01
0.0,0.15907107,0.0,0.64421016,-0.64890325,2.008578,-0.66323394,-0.6348103,-0.648668,1.0,-1.1451226,0.69529134,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0012_01
0.0,-0.12185919,0.0,1.9901664,0.99334604,-0.62488854,-0.66323394,-0.6348103,-0.648668,1.0,-1.1392969,0.8141332,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0014_01
0.0,-0.3325569,0.0,-0.64037204,-0.41235363,-0.62488854,-0.66323394,1.7235105,-0.648668,1.0,-1.137355,0.59972745,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0015_01
1.0,1.1423271,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,-0.648668,1.0,-1.135413,-1.1518679,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0016_01
0.0,-2.0181384,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,-0.014569118,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0017_01
0.0,-1.0348825,0.0,1.5725828,-0.64890325,-0.35551968,-0.66323394,1.746791,-0.014569118,0.0,-1.1334711,0.7452739,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0017_02
1.0,-1.9479059,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0020_01
1.0,1.4232572,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0020_02
1.0,0.018605944,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0020_03
0.0,-1.3158128,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0020_04
1.0,-1.9479059,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0020_05
0.0,-1.5265105,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,2.5218263,0.0,-1.1451226,-1.1518679,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0020_06
0.0,-0.5432546,0.0,1.8904212,-0.27398098,1.0261495,-0.66323394,-0.6348103,-0.648668,1.0,-1.1451226,0.73490703,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0022_01
1.0,2.3362806,0.0,-0.64037204,-0.64890325,-0.62488854,-0.66323394,-0.6348103,-0.648668,1.0,-1.1412388,-1.1518679,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0024_01
0.0,-0.96465,0.0,-0.64037204,1.2009573,-0.62488854,1.8362972,-0.6348103,-0.648668,1.0,-1.1334711,0.7759674,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0025_01
0.0,0.36976877,0.0,0.5115774,2.3241546,-0.62488854,1.968371,1.4816728,-0.648668,1.0,-1.1451226,1.2802817,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0026_01
0.0,1.0018619,0.0,1.9410675,-0.64890325,1.2871003,0.74520266,-0.6348103,-0.648668,1.0,-1.1295873,0.79437923,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0028_01
0.0,0.22930364,0.0,-0.64037204,1.653438,1.087638,1.5379004,1.5992684,-0.648668,1.0,-1.137355,0.8838333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0030_01
